show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genres,user_rating,views_millions,budget_usd,is_original
s1,tv show,Synthetic Title 1,Christopher Nolan,Tom Hanks,South Korea,42550,2014,R,5 S,Comedies,2.4,54.89,88451000,FALSE
s2,movie ,Synthetic Title 2,Steven Spielberg,"Brad Pitt, Scarlett Johansson, Morgan Freeman",United Kingdom,45054,1993,TV-PG,140 min,Comedies,5.8,137.09,59729000,FALSE
s3,TV Show,Synthetic Title 3,Martin Scorsese,"Tom Hanks, Scarlett Johansson",Canada,43117,2000,NR,4 Seasons,Crime TV Shows,2.3,32.69,45512000,FALSE
s4,MOVIE,Synthetic Title 4,Greta Gerwig,Brad Pitt,Canada,42597,2013,TV-PG,180 m,Action & Adventure,5.1,107.85,97146000,FALSE
s5,TV Show,Synthetic Title 5,Steven Spielberg,"Tom Hanks, Scarlett Johansson, Brad Pitt",United States,42506,2009,NR,9 Seasons,"Horror Movies, Thrillers",2,141.65,48429000,TRUE
s6,Movie,Synthetic Title 6,Ava DuVernay,Viola Davis,India,42962,2020,NR,180mins,"International TV Shows, TV Dramas",6,3.56,54516000,FALSE
s7,MOVIE,Synthetic Title 7,Ava DuVernay,Tom Hanks,Canada,44458,2002,PG-13,169 m,"Horror Movies, Thrillers",7.2,51.81,5602000,TRUE
s8,Movie,Synthetic Title 8,Greta Gerwig,"Scarlett Johansson, Tom Hanks",France,"September 10, 2018",2020,TV-PG,143mins,Action & Adventure,5.2,69.79,27530000,TRUE
s9,Movie,Synthetic Title 9,Bong Joon Ho,Scarlett Johansson,India,42773,2004,PG-13,169 m,Crime TV Shows,7.8,128.91,28367000,FALSE
s10,TV Show,Synthetic Title 10,Martin Scorsese,"Tom Hanks, Brad Pitt, Viola Davis",United Kingdom,43230,2010,TV-PG,5 Seasons,Crime TV Shows,8.4,40.66,43556000,TRUE
s11,TV Show,Synthetic Title 11,Greta Gerwig,Scarlett Johansson,France,44501,1990,PG-13,3 S,Documentaries,3.4,129.7,24662000,TRUE
s12,MOVIE,Synthetic Title 12,,Scarlett Johansson,France,42273,2013,TV-PG,155 min,Action & Adventure,2.7,84.86,92524000,TRUE
s13,movie ,Synthetic Title 13,,Leonardo DiCaprio,Japan,"April 05, 2016",2017,TV-14,180mins,Crime TV Shows,7.9,6.83,93700000,FALSE
s14,TV Show,Synthetic Title 14,Steven Spielberg,"Zendaya, Morgan Freeman",United States,"November 26, 2022",2021,PG-13,2 S,Comedies,1.1,92.46,5279000,TRUE
s15,tv show,Synthetic Title 15,Bong Joon Ho,"Morgan Freeman, Scarlett Johansson",Japan,43098,2021,NR,1 S,Action & Adventure,9.3,69.94,85953000,FALSE
s16,MOVIE,Synthetic Title 16,Christopher Nolan,Leonardo DiCaprio,United Kingdom,43919,2007,NR,155 min,Action & Adventure,5.5,17.04,23317000,TRUE
s17,movie ,Synthetic Title 17,Steven Spielberg,"Zendaya, Morgan Freeman, Scarlett Johansson",France,42088,2008,TV-MA,123 min,Crime TV Shows,3.5,106.71,73412000,FALSE
s18,MOVIE,Synthetic Title 18,Steven Spielberg,"Tom Hanks, Brad Pitt",Canada,"November 06, 2021",2011,R,167 min,"International TV Shows, TV Dramas",9,105.52,9191000,FALSE
s19,TV Show,Synthetic Title 19,Ava DuVernay,"Zendaya, Tom Hanks, Viola Davis",United Kingdom,"September 30, 2019",1991,TV-14,6 S,Crime TV Shows,5.8,81.88,55885000,FALSE
s20,Movie,Synthetic Title 20,,"Morgan Freeman, Scarlett Johansson, Leonardo DiCaprio",United States,"May 14, 2023",1990,PG-13,84mins,"International TV Shows, TV Dramas",4.4,67.83,63670000,TRUE
s21,tv show,Synthetic Title 21,Greta Gerwig,"Viola Davis, Leonardo DiCaprio, Scarlett Johansson",United States,43419,2001,TV-MA,7 Seasons,Documentaries,2.5,15.48,67851000,FALSE
s22,tv show,Synthetic Title 22,Bong Joon Ho,Viola Davis,South Korea,"September 13, 2023",2023,R,2 S,Action & Adventure,7.7,62.6,53296000,FALSE
s23,movie ,Synthetic Title 23,Martin Scorsese,"Tom Hanks, Scarlett Johansson, Zendaya",India,42232,2016,R,158 m,Action & Adventure,3.4,107.1,26104000,TRUE
s24,Movie,Synthetic Title 24,Ava DuVernay,Viola Davis,Canada,"March 22, 2023",2023,TV-PG,92 m,"International TV Shows, TV Dramas",9.3,98.41,32574000,FALSE
s25,tv show,Synthetic Title 25,,Morgan Freeman,South Korea,44054,2005,TV-PG,3 S,Action & Adventure,9.3,103.83,46509000,FALSE
s26,Movie,Synthetic Title 26,Ava DuVernay,"Leonardo DiCaprio, Brad Pitt",Japan,44664,1990,PG-13,92mins,"International TV Shows, TV Dramas",4.9,74.92,54497000,TRUE
s27,TV Show,Synthetic Title 27,Greta Gerwig,"Tom Hanks, Viola Davis",France,43317,2012,TV-MA,6 Seasons,Comedies,7.1,88.9,39382000,TRUE
s28,MOVIE,Synthetic Title 28,Bong Joon Ho,"Viola Davis, Brad Pitt",Canada,"November 15, 2018",2001,NR,153 min,Action & Adventure,1.8,146.03,37605000,TRUE
s29,movie ,Synthetic Title 29,Steven Spielberg,Zendaya,United States,45199,2018,TV-MA,99 min,"Horror Movies, Thrillers",2.4,3.83,60367000,FALSE
s30,Movie,Synthetic Title 30,Christopher Nolan,Zendaya,France,44010,2008,TV-MA,136 m,Documentaries,4.7,118.66,64745000,TRUE
s31,tv show,Synthetic Title 31,Bong Joon Ho,Zendaya,Canada,"December 07, 2018",2007,R,4 S,Action & Adventure,6.5,17.2,27107000,TRUE
s32,Movie,Synthetic Title 32,Christopher Nolan,"Brad Pitt, Zendaya, Scarlett Johansson",Canada,"January 08, 2022",2012,NR,123 min,Action & Adventure,6.5,58.83,48591000,TRUE
s33,TV Show,Synthetic Title 33,Bong Joon Ho,"Brad Pitt, Zendaya",Canada,42584,2016,NR,1 Season,Comedies,2.8,32.77,29751000,FALSE
s34,movie ,Synthetic Title 34,Bong Joon Ho,Tom Hanks,India,"September 05, 2017",1999,NR,133 min,"Horror Movies, Thrillers",3.3,114.88,2798000,TRUE
s35,MOVIE,Synthetic Title 35,Greta Gerwig,"Viola Davis, Zendaya",South Korea,"February 20, 2021",2023,TV-MA,154 min,"International TV Shows, TV Dramas",4.1,35.11,4613000,TRUE
s36,Movie,Synthetic Title 36,Christopher Nolan,"Leonardo DiCaprio, Viola Davis",Canada,44684,2005,R,164mins,Comedies,1.3,141.31,6510000,TRUE
s37,tv show,Synthetic Title 37,Greta Gerwig,"Zendaya, Scarlett Johansson",France,43463,2014,NR,7 S,Documentaries,7.3,131.26,30780000,FALSE
s38,movie ,Synthetic Title 38,,"Viola Davis, Scarlett Johansson, Zendaya",South Korea,"February 11, 2017",2010,PG-13,106 m,Crime TV Shows,4.6,111.02,41643000,FALSE
s39,MOVIE,Synthetic Title 39,,"Scarlett Johansson, Leonardo DiCaprio, Brad Pitt",United Kingdom,43098,2008,TV-MA,61 min,Documentaries,4.5,113.22,3263000,TRUE
s40,tv show,Synthetic Title 40,Steven Spielberg,"Brad Pitt, Viola Davis",France,44253,1997,TV-14,10 Seasons,Documentaries,7,99.48,43188000,TRUE
s41,Movie,Synthetic Title 41,Ava DuVernay,,Japan,"September 03, 2017",2015,PG-13,170 min,Comedies,1.7,11.06,80764000,TRUE
s42,Movie,Synthetic Title 42,,Leonardo DiCaprio,"United States, Canada",42051,2007,R,165mins,Comedies,1.3,90.94,59399000,FALSE
s43,TV Show,Synthetic Title 43,Christopher Nolan,Leonardo DiCaprio,Canada,44126,2022,NR,8 Seasons,Crime TV Shows,1,140.66,67445000,FALSE
s44,tv show,Synthetic Title 44,Steven Spielberg,"Leonardo DiCaprio, Brad Pitt, Viola Davis","United States, Canada","September 12, 2017",2014,R,9 S,Documentaries,8.4,40.74,14645000,TRUE
s45,TV Show,Synthetic Title 45,Steven Spielberg,"Tom Hanks, Leonardo DiCaprio, Morgan Freeman",Canada,44804,2004,TV-PG,4 Seasons,Comedies,6.3,43.5,20174000,FALSE
s46,tv show,Synthetic Title 46,Martin Scorsese,"Morgan Freeman, Brad Pitt",South Korea,"July 10, 2018",2023,TV-14,10 S,Comedies,1.8,79.59,49101000,TRUE
s47,tv show,Synthetic Title 47,Christopher Nolan,"Zendaya, Morgan Freeman, Leonardo DiCaprio",South Korea,"September 12, 2022",2006,TV-MA,5 S,Action & Adventure,4.4,128.76,60291000,FALSE
s48,MOVIE,Synthetic Title 48,Martin Scorsese,"Scarlett Johansson, Viola Davis",United States,"November 04, 2021",1990,TV-14,92mins,Documentaries,9,130.89,62461000,FALSE
s49,MOVIE,Synthetic Title 49,Martin Scorsese,Viola Davis,United Kingdom,42040,2022,R,79 m,Action & Adventure,6.9,29.01,98542000,FALSE
s50,tv show,Synthetic Title 50,Martin Scorsese,"Brad Pitt, Viola Davis, Leonardo DiCaprio",Japan,"May 30, 2023",2011,TV-14,7 S,Action & Adventure,5.3,15.62,80522000,TRUE
s51,TV Show,Synthetic Title 51,,"Morgan Freeman, Brad Pitt",Japan,44158,1994,PG-13,7 Seasons,Action & Adventure,5.4,148.4,64104000,FALSE
s52,movie ,Synthetic Title 52,,,"United States, Canada","December 22, 2018",2007,TV-MA,158mins,Documentaries,8.5,45.25,91837000,FALSE
s53,movie ,Synthetic Title 53,Steven Spielberg,"Zendaya, Brad Pitt",India,"April 09, 2021",1998,PG-13,134 m,Crime TV Shows,6,79.78,71130000,TRUE
s54,Movie,Synthetic Title 54,Martin Scorsese,Zendaya,France,44630,2002,NR,93mins,"Horror Movies, Thrillers",6.2,54.9,39441000,FALSE
s55,Movie,Synthetic Title 55,Martin Scorsese,"Morgan Freeman, Scarlett Johansson, Viola Davis",United Kingdom,44507,2000,TV-MA,60mins,"International TV Shows, TV Dramas",8.6,69.32,10295000,FALSE
